trade_id,timestamp,symbol,direction,status,outcome,risk_tier,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,rejection_reason
16,2026-07-24 00:15:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.18,0.47,1.0,0.02,0.0,0.0,0.0,0.02,101.2,0.0,
17,2026-07-24 02:00:00+00:00,BTCUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.02,3.8,7.59,0.82,0.8,0.98,0.38,0.82,0.06,0.01,0.01,0.01,0.05,101.25,0.0,
18,2026-07-24 02:15:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.04,0.32,0.0,0.0,0.0,0.0,0.0,-0.0,101.25,0.0,
19,2026-07-24 02:30:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.29,0.36,1.0,0.02,0.0,0.0,0.0,0.02,101.26,0.0,
20,2026-07-24 03:15:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.13,0.43,2.0,0.04,0.0,0.0,0.0,0.03,101.3,0.0,
21,2026-07-24 03:30:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.06,0.48,1.0,0.02,0.0,0.0,0.0,0.02,101.31,0.0,
22,2026-07-24 03:30:00+00:00,ETHUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.03,3.8,7.6,1.22,0.8,1.53,0.4,1.22,0.09,0.01,0.01,0.01,0.08,101.39,0.0,
23,2026-07-24 04:00:00+00:00,DOGEUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.35,0.38,4.0,0.08,0.0,0.0,0.0,0.07,101.46,0.0,
24,2026-07-24 04:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.9,0.42,0.8,0.09,0.32,1.0,0.02,0.0,0.0,0.0,0.02,101.48,0.0,
25,2026-07-24 05:45:00+00:00,XRPUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.03,3.8,7.61,0.82,0.8,1.03,0.19,0.82,0.06,0.01,0.01,0.01,0.05,101.53,0.0,
26,2026-07-24 06:00:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,MEDIUM_RISK,1.02,3.0,3.05,0.55,0.8,0.75,0.67,0.55,0.02,0.0,0.0,0.01,0.01,101.54,0.0,
27,2026-07-24 06:30:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.03,3.8,7.62,0.99,0.8,1.26,0.14,0.99,0.08,0.01,0.01,0.01,0.06,101.6,0.0,
28,2026-07-24 09:00:00+00:00,BTCUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.03,3.8,7.62,1.61,0.8,2.01,0.41,1.61,0.12,0.01,0.01,0.01,0.11,101.71,0.0,
29,2026-07-24 09:00:00+00:00,SOLUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.03,3.8,7.63,2.03,0.8,2.72,0.45,2.03,0.15,0.01,0.01,0.01,0.14,101.85,0.0,
30,2026-07-24 09:15:00+00:00,XRPUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.04,3.8,7.64,1.61,0.8,2.19,0.07,1.61,0.12,0.01,0.01,0.01,0.11,101.96,0.0,
31,2026-07-24 10:00:00+00:00,ETHUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.04,3.8,7.65,1.3,0.8,1.87,0.28,1.3,0.1,0.01,0.01,0.01,0.09,102.05,0.0,
32,2026-07-24 11:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.04,3.8,7.65,1.3,0.8,1.71,0.39,1.3,0.1,0.01,0.01,0.01,0.09,102.13,0.0,
33,2026-07-24 18:00:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.91,0.42,0.8,0.3,0.43,8.0,0.15,0.0,0.0,0.0,0.15,102.28,0.0,
34,2026-07-24 19:30:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.92,0.42,0.8,0.06,0.19,2.0,0.04,0.0,0.0,0.0,0.03,102.32,0.0,
35,2026-07-24 20:30:00+00:00,XRPUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,1.83,3.8,6.88,0.42,0.8,0.51,0.22,0.43,0.03,0.01,0.01,0.01,0.02,102.33,0.0,
36,2026-07-24 21:00:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.92,0.42,0.8,0.23,0.16,17.0,0.33,0.0,0.0,0.0,0.32,102.66,0.0,
37,2026-07-24 21:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.54,3.8,5.77,0.42,0.8,0.35,0.41,2.0,0.12,0.0,0.01,0.01,0.11,102.76,0.0,
38,2026-07-24 22:30:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.06,3.8,7.71,0.55,0.8,0.75,0.12,0.55,0.04,0.01,0.01,0.01,0.03,102.79,0.0,
39,2026-07-24 23:30:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.06,3.8,7.71,0.46,0.8,0.57,0.11,0.46,0.04,0.01,0.01,0.01,0.02,102.81,0.0,
40,2026-07-25 00:00:00+00:00,ETHUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.93,0.42,0.8,0.09,0.33,2.0,0.04,0.0,0.0,0.0,0.04,102.85,0.0,
41,2026-07-25 01:00:00+00:00,ETHUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.51,3.8,1.93,0.42,0.8,0.18,0.23,11.0,0.21,0.0,0.0,0.0,0.21,103.06,0.0,
42,2026-07-25 04:30:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.52,3.8,1.93,0.42,0.8,0.02,0.33,1.0,0.02,0.0,0.0,0.0,0.02,103.07,0.0,
43,2026-07-25 04:45:00+00:00,ETHUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.52,3.8,1.93,0.42,0.8,0.09,0.22,1.0,0.02,0.0,0.0,0.0,0.02,103.09,0.0,
44,2026-07-25 05:30:00+00:00,XRPUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,1.84,3.8,6.89,0.42,0.8,0.51,0.16,0.43,0.03,0.01,0.01,0.01,0.02,103.1,0.0,
45,2026-07-25 05:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.52,3.8,1.93,0.42,0.8,0.26,0.38,10.0,0.19,0.0,0.0,0.0,0.19,103.29,0.0,
46,2026-07-25 05:30:00+00:00,ETHUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.55,3.8,5.81,0.42,0.8,0.37,0.15,13.0,0.76,0.0,0.01,0.01,0.74,104.04,0.0,
47,2026-07-25 05:45:00+00:00,SOLUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.08,3.8,7.8,0.48,0.8,0.58,0.09,0.48,0.04,0.01,0.01,0.01,0.02,104.06,0.0,
48,2026-07-25 05:45:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.85,3.8,6.95,0.42,0.8,0.33,0.07,12.0,0.83,0.01,0.01,0.01,0.82,104.88,0.0,
49,2026-07-25 09:15:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.52,3.8,1.97,0.42,0.8,0.03,0.4,1.0,0.02,0.0,0.0,0.0,0.02,104.9,0.0,
50,2026-07-25 10:15:00+00:00,SOLUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.52,3.8,1.97,0.42,0.8,0.08,0.18,3.0,0.06,0.0,0.0,0.0,0.06,104.96,0.0,
51,2026-07-25 10:30:00+00:00,XRPUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.1,3.8,7.87,1.22,0.8,1.63,0.09,1.22,0.1,0.01,0.01,0.01,0.08,105.04,0.0,
52,2026-07-25 10:30:00+00:00,ETHUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.1,3.8,7.88,0.82,0.8,1.07,0.02,0.82,0.06,0.01,0.01,0.01,0.05,105.09,0.0,
53,2026-07-25 10:45:00+00:00,BTCUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.1,3.8,7.88,0.67,0.8,0.83,0.08,0.67,0.05,0.01,0.01,0.01,0.04,105.13,0.0,
54,2026-07-25 11:30:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.97,0.42,0.8,0.08,0.22,4.0,0.08,0.0,0.0,0.0,0.08,105.2,0.0,
55,2026-07-25 12:00:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.1,2.9,6.13,3.43,1.03,5.94,0.19,3.43,0.21,0.0,0.01,0.01,0.2,105.4,0.0,
56,2026-07-25 13:15:00+00:00,SOLUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.89,3.8,7.08,0.42,0.8,0.3,0.27,2.0,0.14,0.01,0.01,0.01,0.13,105.53,0.0,
57,2026-07-25 14:15:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.98,0.42,0.8,0.08,0.3,0.0,0.0,0.0,0.0,0.0,-0.0,105.53,0.0,
58,2026-07-25 14:45:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.11,3.8,7.91,0.67,0.8,0.9,0.19,0.67,0.05,0.01,0.01,0.01,0.04,105.57,0.0,
59,2026-07-25 20:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.98,0.42,0.8,0.12,0.25,13.0,0.26,0.0,0.0,0.0,0.25,105.82,0.0,
60,2026-07-25 21:15:00+00:00,ETHUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.98,0.42,0.8,0.08,0.26,0.0,0.0,0.0,0.0,0.0,-0.0,105.82,0.0,
61,2026-07-25 22:00:00+00:00,ETHUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.12,3.8,7.94,0.67,0.8,0.81,0.1,0.67,0.05,0.01,0.01,0.01,0.04,105.85,0.0,
62,2026-07-25 22:15:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.98,0.42,0.8,0.11,0.2,1.0,0.02,0.0,0.0,0.0,0.02,105.87,0.0,
63,2026-07-25 22:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,MEDIUM_RISK,1.06,3.0,3.18,0.71,0.8,0.9,0.71,0.71,0.02,0.0,0.0,0.01,0.02,105.89,0.0,
64,2026-07-25 23:00:00+00:00,SOLUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.99,0.42,0.8,0.04,0.09,2.0,0.04,0.0,0.0,0.0,0.04,105.92,0.0,
65,2026-07-25 23:30:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.99,0.42,0.8,0.0,0.13,1.0,0.02,0.0,0.0,0.0,0.02,105.94,0.0,
66,2026-07-25 23:45:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.12,3.8,7.95,0.67,0.8,0.95,0.12,0.67,0.05,0.01,0.01,0.01,0.04,105.98,0.0,
67,2026-07-26 01:45:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.99,0.42,0.8,0.08,0.12,0.0,0.0,0.0,0.0,0.0,-0.0,105.98,0.0,
68,2026-07-26 02:15:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,MEDIUM_RISK,1.06,3.0,3.18,1.22,0.8,1.77,0.71,1.22,0.04,0.0,0.0,0.01,0.03,106.01,0.0,
69,2026-07-26 02:30:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,1.99,0.42,0.8,0.04,0.19,0.0,0.0,0.0,0.0,0.0,-0.0,106.01,0.0,
70,2026-07-26 02:45:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.59,3.8,5.96,0.42,0.8,0.35,0.3,8.0,0.48,0.0,0.01,0.01,0.47,106.47,0.0,
71,2026-07-26 05:45:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,2.0,0.42,0.8,0.19,0.14,2.0,0.04,0.0,0.0,0.0,0.04,106.51,0.0,
72,2026-07-26 06:00:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,2.0,0.42,0.8,0.16,0.36,1.0,0.02,0.0,0.0,0.0,0.02,106.52,0.0,
73,2026-07-26 07:45:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,2.0,0.42,0.8,0.03,0.33,0.0,0.0,0.0,0.0,0.0,-0.0,106.52,0.0,
74,2026-07-26 07:45:00+00:00,ETHUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.53,3.8,2.0,0.42,0.8,0.15,0.22,2.0,0.04,0.0,0.0,0.0,0.04,106.56,0.0,
75,2026-07-26 09:00:00+00:00,SOLUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.91,3.8,7.16,0.42,0.8,0.35,0.16,2.0,0.14,0.01,0.01,0.01,0.13,106.69,0.0,
76,2026-07-26 09:00:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.91,3.8,7.17,0.42,0.8,0.25,0.13,12.0,0.86,0.01,0.01,0.01,0.85,107.53,0.0,
77,2026-07-26 09:30:00+00:00,ETHUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.15,2.9,6.26,3.43,1.03,5.12,0.16,3.43,0.22,0.01,0.01,0.01,0.2,107.74,0.0,
78,2026-07-26 09:30:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.62,3.8,6.06,0.42,0.8,0.26,0.14,10.0,0.61,0.0,0.01,0.01,0.6,108.33,0.0,
79,2026-07-26 11:45:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.03,0.42,0.8,0.27,0.37,7.0,0.14,0.0,0.0,0.0,0.14,108.47,0.0,
80,2026-07-26 12:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.03,0.42,0.8,0.24,0.47,7.0,0.14,0.0,0.0,0.0,0.14,108.61,0.0,
81,2026-07-26 13:00:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.04,0.42,0.8,0.01,0.21,0.0,0.0,0.0,0.0,0.0,-0.0,108.61,0.0,
82,2026-07-26 13:00:00+00:00,DOGEUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.04,0.42,0.8,0.42,0.47,6.0,0.12,0.0,0.0,0.0,0.12,108.73,0.0,
83,2026-07-26 13:30:00+00:00,BTCUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.17,3.8,8.15,0.46,0.8,0.6,0.16,0.46,0.04,0.01,0.01,0.01,0.02,108.75,0.0,
84,2026-07-26 14:45:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.17,3.8,8.16,1.94,0.8,2.72,0.12,1.94,0.16,0.01,0.01,0.01,0.14,108.89,0.0,
85,2026-07-26 15:15:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.04,0.42,0.8,0.39,0.21,5.0,0.1,0.0,0.0,0.0,0.1,108.99,0.0,
86,2026-07-26 16:30:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.95,3.8,7.32,0.42,0.8,0.31,0.36,0.0,0.0,0.01,0.01,0.01,-0.01,108.98,0.01,
87,2026-07-26 17:00:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.54,3.8,2.04,0.42,0.8,0.14,0.48,3.0,0.06,0.0,0.0,0.0,0.06,109.04,0.0,
88,2026-07-26 18:00:00+00:00,DOGEUSDT,SHORT,REJECTED,,,,,,,,,,,,,,,0.0,109.0351602958522,,High Risk + Low Quality + Low Profit
89,2026-07-26 20:15:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.04,0.42,0.8,0.03,0.32,0.0,0.0,0.0,0.0,0.0,-0.0,109.03,0.0,
90,2026-07-26 20:30:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.04,0.42,0.8,0.1,0.27,2.0,0.04,0.0,0.0,0.0,0.04,109.07,0.0,
91,2026-07-26 21:15:00+00:00,BTCUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.18,3.8,8.18,0.99,0.8,1.43,0.19,0.99,0.08,0.01,0.01,0.01,0.07,109.13,0.0,
92,2026-07-26 21:15:00+00:00,XRPUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.18,3.8,8.19,0.99,0.8,1.18,0.24,0.99,0.08,0.01,0.01,0.01,0.07,109.2,0.0,
93,2026-07-26 22:00:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,0.55,3.8,2.05,0.46,0.8,0.55,0.52,0.46,0.01,0.0,0.0,0.0,0.01,109.21,0.0,
94,2026-07-27 01:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.33,0.51,7.0,0.14,0.0,0.0,0.0,0.14,109.35,0.0,
95,2026-07-27 01:30:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.24,0.43,0.0,0.0,0.0,0.0,0.0,-0.0,109.34,0.0,
96,2026-07-27 04:30:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.01,0.26,0.0,0.0,0.0,0.0,0.0,-0.0,109.34,0.01,
97,2026-07-27 04:45:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.0,0.25,1.0,0.02,0.0,0.0,0.0,0.02,109.36,0.0,
98,2026-07-27 05:00:00+00:00,XRPUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.19,3.8,8.2,0.46,0.8,0.64,0.2,0.46,0.04,0.01,0.01,0.01,0.02,109.38,0.0,
99,2026-07-27 05:45:00+00:00,DOGEUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,1.96,3.8,7.35,0.55,0.8,0.78,0.59,0.55,0.04,0.01,0.01,0.01,0.03,109.41,0.0,
100,2026-07-27 07:45:00+00:00,BTCUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.19,0.3,5.0,0.1,0.0,0.0,0.0,0.1,109.5,0.0,
101,2026-07-27 08:00:00+00:00,XRPUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.05,0.42,0.8,0.25,0.25,4.0,0.08,0.0,0.0,0.0,0.08,109.58,0.0,
102,2026-07-27 08:00:00+00:00,DOGEUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,0.55,3.8,2.05,0.48,0.8,0.58,0.58,0.48,0.01,0.0,0.0,0.0,0.01,109.59,0.0,
103,2026-07-27 08:15:00+00:00,SOLUSDT,SHORT,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,1.95,3.8,7.32,0.42,0.8,0.34,0.35,3.0,0.22,0.01,0.01,0.01,0.21,109.8,0.0,
104,2026-07-27 10:30:00+00:00,SOLUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,HIGH_RISK,0.55,1.5,0.82,0.82,1.16,1.11,1.11,0.82,0.01,0.0,0.0,0.0,0.01,109.8,0.0,
105,2026-07-27 10:30:00+00:00,BTCUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.06,0.42,0.8,0.03,0.43,1.0,0.02,0.0,0.0,0.0,0.02,109.82,0.0,
106,2026-07-27 11:00:00+00:00,XRPUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.06,0.42,0.8,0.01,0.39,1.0,0.02,0.0,0.0,0.0,0.02,109.83,0.0,
107,2026-07-27 11:15:00+00:00,BTCUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,HIGH_RISK,0.41,1.5,0.62,0.42,1.03,0.45,0.9,0.43,0.0,0.0,0.0,0.0,0.0,109.84,0.0,
108,2026-07-27 11:15:00+00:00,XRPUSDT,SHORT,REJECTED,,,,,,,,,,,,,,,0.0,109.8360946438726,,High Risk + Low Quality + Low Profit
109,2026-07-27 11:30:00+00:00,ETHUSDT,SHORT,EXECUTED,TAKE_PROFIT_HIT,HIGH_RISK,0.55,1.5,0.82,0.71,1.03,0.87,0.92,0.71,0.01,0.0,0.0,0.0,0.0,109.84,0.0,
110,2026-07-27 12:45:00+00:00,DOGEUSDT,LONG,EXECUTED,TIME_CLOSE_EXIT,LOW_RISK,0.55,3.8,2.06,0.42,0.8,0.12,0.63,0.0,0.0,0.0,0.0,0.0,-0.0,109.84,0.0,
111,2026-07-27 13:15:00+00:00,DOGEUSDT,SHORT,REJECTED,,,,,,,,,,,,,,,0.0,109.83678646280478,,High Risk + Low Quality + Low Profit
112,2026-07-27 13:30:00+00:00,DOGEUSDT,LONG,REJECTED,,,,,,,,,,,,,,,0.0,109.83678646280478,,High Risk + Low Quality + Low Profit
113,2026-07-27 13:45:00+00:00,BTCUSDT,LONG,EXECUTED,TAKE_PROFIT_HIT,LOW_RISK,2.2,3.8,8.24,0.55,0.8,0.77,0.53,0.55,0.05,0.01,0.01,0.01,0.03,109.87,0.0,
